Cliente;Gerencia_F;subcanal_
cte1;gerencia 1;tiendita
cte2;gerencia 2 ;tiendita
cte3;gerencia 3;tiendita
cte4;gerencia 2 ;tiendita
cte5;gerencia 1;tiendita
cte6;gerencia 1;tiendita
cte7;gerencia 2 ;tiendita
cte8;gerencia 4;tiendita
cte9;gerencia 2 ;tiendita
cte10;gerencia 2 ;tiendita
cte11;gerencia 2 ;tiendita
cte12;gerencia 2 ;tiendita
cte13;gerencia 2 ;tiendita
cte14;gerencia 5;tiendita
cte15;gerencia 5;tiendita
cte16;gerencia 5;tiendita
cte17;gerencia 2 ;tiendita
cte18;gerencia 6;tiendita
cte19;gerencia 7;tiendita
cte20;gerencia 3;tiendita
cte21;gerencia 2 ;tiendita
cte22;gerencia 5;tiendita
cte23;gerencia 2 ;tiendita
cte24;gerencia 2 ;tiendita
cte25;gerencia 3;tiendita
cte26;gerencia 2 ;tiendita
cte27;gerencia 3;tiendita
cte28;gerencia 4;tiendita
cte29;gerencia 6;tiendita
cte30;gerencia 1;tiendita
cte31;gerencia 2 ;tiendita
cte32;gerencia 2 ;tiendita
cte33;gerencia 1;tiendita
cte34;gerencia 6;tiendita
cte35;gerencia 7;tiendita
cte36;gerencia 4;tiendita
cte37;gerencia 2 ;tiendita
cte38;gerencia 1;tiendita
cte39;gerencia 7;tiendita
cte40;gerencia 6;tiendita
cte41;gerencia 6;tiendita
cte42;gerencia 2 ;tiendita
cte43;gerencia 7;tiendita
cte44;gerencia 1;tiendita
cte45;gerencia 7;tiendita
cte46;gerencia 2 ;tiendita
cte47;gerencia 6;tiendita
cte48;gerencia 2 ;tiendita
cte49;gerencia 2 ;tiendita
cte50;gerencia 4;tiendita
cte51;gerencia 6;tiendita
cte52;gerencia 2 ;tiendita
cte53;gerencia 5;tiendita
cte54;gerencia 7;tiendita
cte55;gerencia 2 ;tiendita
cte56;gerencia 2 ;tiendita
cte57;gerencia 3;tiendita
cte58;gerencia 8;tiendita
cte59;gerencia 6;tiendita
cte60;gerencia 4;tiendita
cte61;gerencia 4;tiendita
cte62;gerencia 2 ;tiendita
cte63;gerencia 5;tiendita
cte64;gerencia 6;tiendita
cte65;gerencia 6;tiendita
cte66;gerencia 5;tiendita
cte67;gerencia 1;tiendita
cte68;gerencia 4;tiendita
cte69;gerencia 6;tiendita
cte70;gerencia 3;tiendita
cte71;gerencia 7;tiendita
cte72;gerencia 4;tiendita
cte73;gerencia 6;tiendita
cte74;gerencia 4;tiendita
cte75;gerencia 1;tiendita
cte76;gerencia 7;tiendita
cte77;gerencia 4;tiendita
cte78;gerencia 1;tiendita
cte79;gerencia 6;tiendita
cte80;gerencia 1;tiendita
cte81;gerencia 2 ;tiendita
cte82;gerencia 2 ;tiendita
cte83;gerencia 7;tiendita
cte84;gerencia 5;tiendita
cte85;gerencia 6;tiendita
cte86;gerencia 7;tiendita
cte87;gerencia 6;tiendita
cte88;gerencia 2 ;tiendita
cte89;gerencia 5;tiendita
cte90;gerencia 4;tiendita
cte91;gerencia 1;tiendita
cte92;gerencia 1;tiendita
cte93;gerencia 5;tiendita
cte94;gerencia 1;tiendita
cte95;gerencia 1;tiendita
cte73;gerencia 6;tiendita
cte96;gerencia 5;tiendita
cte97;gerencia 4;tiendita
cte98;gerencia 6;tiendita
cte99;gerencia 1;tiendita
cte100;gerencia 4;tiendita
cte101;gerencia 5;tiendita
cte102;gerencia 4;tiendita
cte103;gerencia 2 ;tiendita
cte104;gerencia 6;tiendita
cte105;gerencia 7;tiendita
cte106;gerencia 2 ;tiendita
cte107;gerencia 2 ;tiendita
cte108;gerencia 7;tiendita
cte109;gerencia 3;tiendita
cte110;gerencia 6;tiendita
cte111;gerencia 5;tiendita
cte112;gerencia 6;tiendita
cte113;gerencia 5;tiendita
cte114;gerencia 5;tiendita
cte115;gerencia 7;tiendita
cte116;gerencia 2 ;tiendita
cte117;gerencia 3;tiendita
cte118;gerencia 6;tiendita
cte119;gerencia 5;tiendita
cte120;gerencia 1;tiendita
cte121;gerencia 2 ;tiendita
cte122;gerencia 7;tiendita
cte123;gerencia 1;tiendita
cte124;gerencia 1;tiendita
cte125;gerencia 1;tiendita
cte126;gerencia 5;tiendita
cte127;gerencia 5;tiendita
cte128;gerencia 2 ;tiendita
cte129;gerencia 6;tiendita
