Cliente;sku;brand;segment;vol_;nr_;desc_;porDesc
cte2332;2463681680;marca 5;Core;1820,84;9481761746;0;1
cte2332;2118452400;marca 8;Core;1753,31;8269873159;0;1
cte4165;3067832920;marca 6;Core;1702,24;7158961614;0;1
cte2332;2132183110;marca 6;Core;1695,01;7156228252;0;1
cte7852;3067832920;marca 6;Core;1672,93;6937292614;0;1
cte6025;3067832920;marca 6;Core;1638,28;6876911840;0;1
cte6025;3067832920;marca 6;Core;1638,28;6876911840;0;1
cte6025;3067832920;marca 6;Core;1638,28;6876911840;0;1
cte6025;3067832920;marca 6;Core;1638,28;6876911840;0;1
cte2332;9311382910;marca 6;Core;1552,85;5914746964;0;1
cte8610;2132183110;marca 6;Core;1552,45;5441844962;0;1
cte5579;3067832920;marca 6;Core;1537,84;4861399066;0;1
cte8549;2132183110;marca 6;Core;1535,3;4748657569;0;1
cte8615;14426072385;marca 10;Core;1519,54;4684454274;0;1
cte8597;14426072385;marca 10;Core;1517,31;4594043629;0;1
cte2332;3547427005;marca 2;Premium;1515,31;4592217086;0;1
cte8584;16149276490;marca 17;Value;1505,92;4286338099;0;1
cte2332;14426072385;marca 10;Core;1505,29;4034801112;0;1
cte7758;2463681680;marca 5;Core;1499,58;3953867039;0;1
cte4079;3067832920;marca 6;Core;1487,15;3855230586;0;1
cte8597;16149276490;marca 17;Value;1483,59;3751086858;0;1
cte8610;16149276490;marca 17;Value;1483,04;3739545052;0;1
cte8547;2132183110;marca 6;Core;1483,04;3581434124;0;1
cte554;3067832920;marca 6;Core;1483,04;3528015558;0;1
cte554;3067832920;marca 6;Core;1483,04;3528015558;0;1
cte554;3067832920;marca 6;Core;1478,3;3528015558;0;1
cte554;3067832920;marca 6;Core;1474,83;3528015558;0;1
cte8584;14426072385;marca 10;Core;1474,16;3521790298;0;1
cte8547;16149276490;marca 17;Value;1473,55;3409160865;0;1
cte3977;3067832920;marca 6;Core;1473,55;3322931410;0;1
cte6025;2118452400;marca 8;Core;1473,55;3302552185;0;1
cte6025;2118452400;marca 8;Core;1473,55;3302552185;0;1
cte6025;2118452400;marca 8;Core;1473,25;3302552185;0;1
cte6025;2118452400;marca 8;Core;1473,25;3302552185;0;1
cte2332;7839254645;marca 4;Globales;1473,25;3290404483;0;1
cte5428;3067832920;marca 6;Core;1473,25;3280441914;0;1
cte7462;3067832920;marca 6;Core;1473,25;3274734298;0;1
cte8557;2132183110;marca 6;Core;1470,91;3243707437;0;1
cte8581;2132183110;marca 6;Core;1465,05;3218831429;0;1
cte8548;16149276490;marca 17;Value;1459,11;3113402092;0;1
cte8593;5150977780;marca 1;Premium;1453,01;3012189379;0;1
cte8535;16149276490;marca 17;Value;1448,7;2898435961;0;1
cte114;3067832920;marca 6;Core;1443,91;2811543996;0;1
cte114;3067832920;marca 6;Core;1443,91;2811543996;0;1
cte114;3067832920;marca 6;Core;1443,91;2811543996;0;1
cte114;3067832920;marca 6;Core;1443,91;2811543996;0;1
cte8615;16149276490;marca 17;Value;1440,58;2787346080;0;1
cte8548;2129240815;marca 8;Core;1439,59;2776379082;0;1
cte198;3067832920;marca 6;Core;1438,3;2703814502;0;1
cte8585;2132183110;marca 6;Core;1438,3;2701552348;0;1
cte6623;14426072385;marca 10;Core;1438,3;2689082922;0;1
cte8557;14426072385;marca 10;Core;1438,3;2579012715;0;1
cte8536;16149276490;marca 17;Value;1438,19;2560838144;0;1
cte8547;16825023575;marca 3;Globales;1438,19;2532557109;0;1
cte8535;2129240815;marca 8;Core;1438,19;2531132264;0;1
cte8536;14426072385;marca 10;Core;1438,19;2512654891;0;1
cte8599;14426072385;marca 10;Core;1435,26;2505796727;0;1
cte8593;9325113620;marca 3;Globales;1429,35;2501220215;0;1
cte7275;3067832920;marca 6;Core;1428,54;2494437135;0;1
cte8584;2132183110;marca 6;Core;1428,52;2477222606;0;1
cte8535;14426072385;marca 10;Core;1426,03;2450381924;0;1
cte8610;9325113620;marca 3;Globales;1422,17;2358343241;0;1
cte4633;9311382910;marca 6;Core;1420,62;2353140686;0;1
cte4633;9311382910;marca 6;Core;1418,96;2353140686;0;1
cte4633;9311382910;marca 6;Core;1417,61;2353140686;0;1
cte4633;9311382910;marca 6;Core;1417,02;2353140686;0;1
cte8599;16149276490;marca 17;Value;1416,82;2341543835;0;1
cte8578;16149276490;marca 17;Value;1414,84;2341183154;0;1
cte8610;14426072385;marca 10;Core;1414,66;2336312422;0;1
cte8610;16825023575;marca 3;Globales;1413,62;2288774109;0;1
cte2332;2129240815;marca 8;Core;1411,04;2287305157;0;1
cte8549;14426072385;marca 10;Core;1409,49;2244634339;0;1
cte8593;14365264955;marca 11;Globales;1405,2;2218750542;0;1
cte8599;2132183110;marca 6;Core;1401,4;2213448844;0;1
cte8540;16825023575;marca 3;Globales;1400,88;2191260909;0;1
cte4165;2118452400;marca 8;Core;1400,88;2181227398;0;1
cte2332;7837293115;marca 4;Globales;1400,88;2156114305;0;1
cte8540;7837293115;marca 4;Globales;1400,88;2065374482;0;1
cte8547;1400532420;marca 5;Core;1400,82;2060354351;0;1
cte8548;9485959080;marca 4;Globales;1399,08;1997176154;0;1
cte5852;9325113620;marca 3;Globales;1398,54;1973570746;0;1
cte8548;2132183110;marca 6;Core;1398,54;1954126102;0;1
cte8535;2132183110;marca 6;Core;1398,54;1943516058;0;1
cte8583;14426072385;marca 10;Core;1398,54;1943406354;0;1
cte8566;9325113620;marca 3;Globales;1397,2;1908995151;0;1
cte1803;3067832920;marca 6;Core;1396,85;1906421954;0;1
cte1803;3067832920;marca 6;Core;1395,04;1906421954;0;1
cte1803;3067832920;marca 6;Core;1394,15;1906421954;0;1
cte1803;3067832920;marca 6;Core;1393,95;1906421954;0;1
cte8591;2132183110;marca 6;Core;1393,95;1889529501;0;1
cte8583;2132183110;marca 6;Core;1393,95;1887370038;0;1
cte554;9311382910;marca 6;Core;1393,95;1850090013;0;1
cte554;9311382910;marca 6;Core;1392,27;1850090013;0;1
cte554;9311382910;marca 6;Core;1391,08;1850090013;0;1
cte554;9311382910;marca 6;Core;1390,88;1850090013;0;1
cte198;3547427005;marca 2;Premium;1390,05;1842709576;0;1
cte8549;16149276490;marca 17;Value;1390,05;1836589834;0;1
cte8539;2132183110;marca 6;Core;1389,1;1813948322;0;1
cte5603;3678849515;marca 1;Premium;1386,65;1799638389;0;1
cte8548;14426072385;marca 10;Core;1386,65;1792581124;0;1
cte4633;9299613730;marca 8;Core;1384,65;1776554366;0;1
cte4633;9299613730;marca 8;Core;1384,01;1776554366;0;1
cte4633;9299613730;marca 8;Core;1381,18;1776554366;0;1
cte4633;9299613730;marca 8;Core;1380,7;1776554366;0;1
cte8548;9325113620;marca 3;Globales;1380,7;1762149370;0;1
cte5019;3067832920;marca 6;Core;1380,7;1750462730;0;1
cte8585;2129240815;marca 8;Core;1380,7;1737550576;0;1
cte8547;2129240815;marca 8;Core;1380,29;1721355031;0;1
cte8547;9325113620;marca 3;Globales;1379,7;1697901941;0;1
cte554;2463681680;marca 5;Core;1378,51;1648851897;0;1
cte554;2463681680;marca 5;Core;1377,42;1648851897;0;1
cte554;2463681680;marca 5;Core;1377,22;1648851897;0;1
cte554;2463681680;marca 5;Core;1376,82;1648851897;0;1
cte8610;1400532420;marca 5;Core;1376,73;1640465008;0;1
cte8557;16149276490;marca 17;Value;1376,73;1640379137;0;1
cte8601;2132183110;marca 6;Core;1376,73;1635853382;0;1
cte7003;3067832920;marca 6;Core;1376,73;1632184812;0;1
cte8615;2132183110;marca 6;Core;1375,64;1627510317;0;1
cte8601;16149276490;marca 17;Value;1375,44;1623066429;0;1
cte3905;3067832920;marca 6;Core;1373,85;1620109459;0;1
cte8578;2132183110;marca 6;Core;1373,58;1619596715;0;1
cte5865;2583335010;marca 20;Core;1371,5;1615866954;0;1
cte3480;14426072385;marca 10;Core;1371,28;1613872232;0;1
cte6894;3547427005;marca 2;Premium;1371,28;1612725677;0;1
cte8549;8405156050;marca 9;Globales;1371,28;1612630543;0;1
cte6623;3547427005;marca 2;Premium;1370,96;1586514832;0;1
cte8536;2132183110;marca 6;Core;1370,79;1573738491;0;1
cte8566;2132183110;marca 6;Core;1370,69;1547254728;0;1
cte5961;3067832920;marca 6;Core;1370,59;1540837808;0;1
cte8559;9325113620;marca 3;Globales;1370,19;1534842338;0;1
cte8549;7438121760;marca 8;Core;1369,8;1527381901;0;1
cte8597;2132183110;marca 6;Core;1369,7;1516500601;0;1
cte2332;9297652200;marca 5;Core;1369,5;1512229529;0;1
cte4779;2118452400;marca 8;Core;1369,5;1498634325;0;1
cte8546;2132183110;marca 6;Core;1369,5;1497123675;0;1
cte8284;3067832920;marca 6;Core;1369,5;1493256930;0;1
cte8584;7438121760;marca 8;Core;1369,3;1481097601;0;1
cte6336;9297652200;marca 5;Core;1369,22;1480492763;0;1
cte8597;8405156050;marca 9;Globales;1368,81;1463738003;0;1
cte5465;2463681680;marca 5;Core;1368,81;1456858222;0;1
cte8581;9325113620;marca 3;Globales;1368,41;1451729546;0;1
cte8546;9325113620;marca 3;Globales;1368,41;1437802551;0;1
cte6894;3067832920;marca 6;Core;1368,41;1434955272;0;1
cte8578;14426072385;marca 10;Core;1368,41;1434740866;0;1
cte5691;3067832920;marca 6;Core;1368,25;1427143536;0;1
cte5691;3067832920;marca 6;Core;1367,34;1427143536;0;1
cte5691;3067832920;marca 6;Core;1367,32;1427143536;0;1
cte5691;3067832920;marca 6;Core;1367,32;1427143536;0;1
cte8583;16149276490;marca 17;Value;1367,24;1406657572;0;1
cte6623;3678849515;marca 1;Premium;1367,2;1403989654;0;1
cte7275;3547427005;marca 2;Premium;1366,53;1401870310;0;1
cte8615;8405156050;marca 9;Globales;1366,03;1399333531;0;1
cte3012;3067832920;marca 6;Core;1365,93;1398728042;0;1
cte8548;7438121760;marca 8;Core;1365,92;1388529002;0;1
cte8535;5150977780;marca 1;Premium;1365,52;1373750558;0;1
cte2702;3067832920;marca 6;Core;1365,4;1360268656;0;1
cte8549;2129240815;marca 8;Core;1365;1353484803;0;1
cte7873;3067832920;marca 6;Core;1364,87;1341960401;0;1
cte7754;2118452400;marca 8;Core;1364,25;1332470386;0;1
cte114;2118452400;marca 8;Core;1364,25;1317986192;0;1
cte114;2118452400;marca 8;Core;1364,25;1317986192;0;1
cte114;2118452400;marca 8;Core;1364,25;1317986192;0;1
cte114;2118452400;marca 8;Core;1363,91;1317986192;0;1
cte4067;9299613730;marca 8;Core;1363,7;1303586458;0;1
cte554;9325113620;marca 3;Globales;1363,36;1300440972;0;1
cte554;9325113620;marca 3;Globales;1362,77;1300440972;0;1
cte554;9325113620;marca 3;Globales;1362,01;1300440972;0;1
cte554;9325113620;marca 3;Globales;1362,01;1300440972;0;1
cte5628;9325113620;marca 3;Globales;1362,01;1292083051;0;1
cte8581;16149276490;marca 17;Value;1362,01;1287632701;0;1
cte3147;3067832920;marca 6;Core;1361,98;1285396926;0;1
